"drug","formulary_drug_cd"
"Meropenem Desensitization","MERODESEN"
"Silver Nitrate Applicator","SILV1T"
"Dexilant",NULL
"Citalopram","CITA2L"
"dilantin ","PHEN50"
"Valtrex","VALA500"
"Oxaliplatin","OXAL100I"
"Levobunolol",NULL
"Norepinephrine",NULL
"Thrombin",NULL
"Hydromorphone PCA","HYD50PCA"
"Glucose Tab","GLUCTAB"
"Tylenol Arthritis",NULL
"VESIcare","SOLI5"
"Lorazepam","LORA2L"
"Soma","CARI350"
"hydrocortisone/iodoquinol",NULL
"Heparin Sodium (Preservative Free)","HEPA10S"
"Fluphenazine","FLUP2.5I"
"Mycophenolate ","MYCO250"
"Fosinopril","FOSI40"
"Tobramycin Sulfate","TOBR1200I"
"Doc","DOCU100"
"Urispas (flavoate HCL)",NULL
"Atazanavir","ATAZ150"
"Morphine Sulfate (1-10mg)","MORP1-10"
"Progesterone Micronized","PROG100"
"Gammagard S/D","GAMM10I"
"Claravis",NULL
"PER","PERIC15L"
"Vitamin B Complex","VITBC1"
"Moxifloxacin HCl","MOXI400"
"Jolessa",NULL
"*NF* Guaifenesin LA","GUAI600T"
"Varicella Zoster Immune Glob","VARI125I"
"Wellbutrin XL","BUPR150XL"
"Mycophenolate Mofetil","MYCO1500L"
"Terazosin","TERAZ1"
"Levetiracetam Solution","LEVE100L"
"corti","CORTOTIC"
"Multivitamin","MVI"
"Atomoxetine","ATOM40"
"cyclo","NEOR100"
"Drotrecogin Alfa (Xigris)","DROT5I"
"oxymetazoline","OXYM15"
"neoral","NEOR25IND"
"Fentanyl PCA","FEN625PCA"
"Entecavir Oral Solution","ENTE0.5"
"AZILECT",NULL
"MethylPHENIDATE (Ritalin)","RITA5"
"riboflavin",NULL
"Methylprednisolone Acetate","MPRED40I"
"Levalbuterol Tartrate","LEVA0.63L"
"HydrOXYzine HCl","HYDX10"
"Ranitidine HCl","RANI150"
"CeftriaXONE","CEFR2I"
"Cinacalcet HCl","CINA30"
"Calcium 600 + D(3)",NULL
"Clonidine Patch 0.1 mg/24 hr","CLON1P"
"Prochlorperazine","COMP10I"
"*NF* Estraderm","ESTR5P"
"Amoxicillin-Clavulanate Desensitization","AUGM1.25L"
"Fleet Phospho-Soda","FLEET"
"Humalog Mix 75-25","HUMA75/25I"
"Ipratropium Brom","IPRA2H"
"CycloSPORINE (Neoral) MODIFIED","NEOR100"
"Carbidopa-Levodopa","PARC25/100"
"ce","CETI10"
"BuPROP","BUPR150"
"Actimmune",NULL
"valgan","VALG50L"
"dextrose","DEX50SY"
"Timolol Maleate 0.5% XE",NULL
"Hydrocortisone (Rectal) 2.5% Cream","ANUSHC"
"Amoxicillin-Clavulanate Desensitization","AUGM0.0125L"
"Epoetin Alfa","EPOHD"
"cortosyn","CORTIND"
"NORepinephrine","LEVO4I"
"zz","CORTIND"
"Aspirin ","ASA325"
"Heparin ","HEP10I"
"Metoclopramide Hcl","METO10"
"Diltiazem","DILT90"
"Verapa","VERA120SR"
"Propranolol HCl","PROP10"
"Morphine PCA","MORP50PCA"
"BENICAR HCT","OLME10"
"Pantoprazole","LANS30ST"
"cet","CETI10"
"Amylase/Lipase/Protease","VIOK"
"Trandolapril","TRAN1"
"fluticasone",NULL
"Oxybutynin Chloride ER",NULL
"Captopril","CAPT50"
"VinCRIStine (Oncovin)","VINC2I"
"NEO*IV*Hydrocortisone Sod Succinate","HYDR1I"
"CellCept",NULL
"Topiramate","TOPI100"
"SIMETHICONE",NULL
"Rofecoxib","ROFE25"
"Lidocaine Jelly 2%","LIDO2/5J"
"Amitriptyline HCl","AMIT10"
"Scopolamine Base","SCOP15P"
"Acetaminophen w/Codeine Elixir","T3/12.5ML"
"Salmon Oil-1000",NULL
"Lidocaine Ointment 5%","LIDO5O"
"Nystatin-Triamcinolone Ointment","MYC30O"
"Fleet","FPS45L"
"OLANZapine","OLAN0.25L"
"Theophylline (Slo-bid) Capsule","SLO300"
"Glycopyrrolate","GLYC1"
"Cortroysin","CORTIND"
"DiphenhydrAMINE HCl","DIPH25"
"NITROPRUSSIDE","NITP50I"
"Aspirin","ASAB325"
"Methotrexate Sodium","METH20I"
"Lotensin","BENA5"
"NORMOCARB DIALYSIS SOLUTION",NULL
"NEO*IV*Clindamycin","NCLINDIV"
"Dexamethas","DEXA15"
"5% Dextrose","HEPBASE"
"Pentobarbital Sodium","NEBU2500I"
"*NF* Iron Sucrose","VENO100I"
"Magnesium Sulfate",NULL
"Nevanac",NULL
"Lithium ","LITH450SA"
"Mycophenolate Mofetil (Self Med)","MYCO500SM"
"sodium","ICPKIT"
"Fluconazole","FLUC200SM"
"QUALAQUIN","QUIN324"
"REYATAZ","ATAZ100"
"Insulin Pump (Self Administering Medication)","INSUPUMP"
"Nitroprusside Sodium","NITP50I"
"Mometasone furoate (Nasonex)",NULL
"Pyrimethamine Desensitization","PYRI50/25L"
"Docusate Sodium (Liquid)","DOCU100L"
"OxycoDONE-Acetaminophen Elixir","PERC"
"Calcium Citrate + Vit D",NULL
"Revatio (sildenafil)","DAPI0.5ES"
"Maxide 75/50","MAXZ1"
"Ifosfamide","IFEX1I"
"Akwa Tears","ARTI3.5O"
"Dextroamphetamine","DEXE5"
"Moexipril HCl","MOEX15"
"Minocycline HCl","MINO100"
"Fulvestrant","FULV125I"
"Alteplase (Catheter Clearance)","ALTE1/2I"
"Phenytoin Sodium Extended","DILA100"
"Estradiol Transdermal Patch","ESTR5P"
"Aripiprazole","ARIP25HT"
"Byetta (exenatide)",NULL
"Hydrocortisone Sod Succinate","HYDRO100I"
"Ampicillin Desensitization","AMPIDESEN"
"HydrALAZINE HCl","HYDZ10"
"Alteplase 1mg/1mL ( Clearance ie. Temp TLCL )","ALTE1I"
"Sodium Citrate","BICI30L"
"pilocarpine HCl","PILO5"
"NEO*IV*Tobramycin Sulfate","TOBR20I"
"Efavirenz","EFAV200"
"Tyvaso","TREP1.74"
"Ketotifen Fumarate (Bulk)",NULL
"epi","EPIPEN0.3I"
"Cetuximab","CETU100I"
"Doxazosin","DOXA1"
"Heparin","LANS30L"
"Keppra","LEVE100L"
"NEO*PO*Chlorothiazide","NEOCHL"
"Claritin-D 12 Hour  5-120",NULL
"Ropivacaine 0.2%","ROPI0.2/100I"
"Dextros","DEX50SY"
"brimonidine","ALPH0.15O"
"Miconazole","MICO2C"
"Ear Drops Earwax Aid","GLYO65OT"
"Albuterol Neb Soln","ALBU17H"
"Bimatoprost (Lumigan)",NULL
"Flutamide","FLUT1C"
"Rabies Immune Globulin","RABI10I"
"LeVETiracetam Solution","LEVE500"
"Lutein",NULL
"flomax","TAMS.4"
"Trazodone HCl","TRAZ50"
"Sod Citrate-Citric Acid","BICI30L"
"Heparin (Hemodialysis)","HEP10I"
"Mannitol 20%","MANN20PM"
"PrimiDONE","PRIM50"
"Morphine Sulfate ","MORPCONC"
"Sodium Bicarbonate","NABC50I"
"Abacavir Sulfate","ABAC20S"
"Dasatinib",NULL
"*NF* Capecitabine","CAPE500"
"Zithromax Z-Pak","ZITHR250"
"Indinavir Sulfate","INDI200"
"NuvaRing(etonogestrel/ethinyl estradiol",NULL
"Fondaparinux Sodium","FOND5I"
"CeftazIDIME","CEF2I"
"Heparin ","HEPA5I"
"Clonidine TTS","CLON3P"
"Duragesic","FENT25P"
"Artificial Saliva","SPIT"
"MAGNESIUM OXIDE","MAGN400"
"Antihemophilic Factor","ANTI250I"
"Salsalate","SALS750"
"calcium","CALC500"
"Acyclovir Ointment 5%","ACY5O"
"Nystatin-Triamcinolone Cream","MYCO2C"
"QUEtiapine","QUET25"
"Carn","LCARN330"
"Eplerenone","EPLE25"
"Posaconazole","POSA200L"
"Tekturna","ALIS150"
"Fluticasone-Salmeterol","ADVA500/50"
"pyrimethamine","DARA25"
"*NF* Beclomethasone Dipropionate Inhalation","BECLINH"
"250 mL Bottle","BTL250"
"Avodart  0.5MG",NULL
"Potassium Phosphate","KPHO150I"
"Tiagabine HCl","TIAG4"
"Flovent","FLUT110H"
"Dextran  1 (Promit)",NULL
"Dimenhydrinate","DRAM50"
"Diphenhydramine HCl","DIPH50I"
"Risperidone Oral Solution","RIS1L"
"Terbinafine 1% Cream","TERB1C"
"Epi","EPIPEN0.3I"
"Clarithromycin","CLAR500SYR"
"Sevelamer HCl","SEVE800"
"Phenytoin","PHEN50"
"Gentamicin Sulfate Ophth.","GENT3EO"
"Erlotinib (Tarceva)","ERLO150"
"PrednisoLONE Acetate 0.12% Ophth. Susp.","PRED125ES"
"Aminophylline","AMPH250I"
"Neoral","NEOR25IND"
"Entecavir Oral Solution","ENTE0.05L"
"Ondansetron","ONDA2SYR"
"Phenazopyridine HCl","PHEN100"
"DTaP-HepB-IPV Combined","PEDIVAC0.5I"
"Trimethoprim","TRMP100"
"Sodium Polystyrene Sulfonate","KAYX60"
"Santyl","STLTP"
"Morphine Sulfate","MORP15"
"Humibid E",NULL
"Mucinex","GUAI10"
"Phenytoin Infatab","PHEN50"
"PreserVision( vit A,C,E-zinc-copper)",NULL
"Nortriptyline","NORT10L"
"Paclitaxel","TAXO30I"
"Verapamil","VERA80"
" Zaditor Ophthalmic",NULL
"Buprenorphine","BUPR2"
"Lidocaine 4% MPF","LIDO45I"
"Sulfameth/Trimethopr","BACT20L"
"JanUVIA","SITA100"
"mucinex","GUAI600T"
"prednisolone","PRED1ES"
"Valproic Acid","DIVA125SP"
"Lidocaine 1% P.f.","LIDOPF130I"
"Fentanyl","FENT12P"
"Orabase-B","ORBE5T"
"Norepinephrine","NORE800SYR"
"CycloSPORINE (Neoral) MODIFIED","NEOR0"
"0.9% Sodium Chloride (EXCEL BAG)","EXCELNS1000"
"baclofen","BACL10"
"Sulfameth/T","BACT20L"
"Travatan Z","TRAV004OS"
"ValACYclovir","VALA500"
"D5W","DOPABASE"
"MedroxyPROGESTERone Acetate","MEDR150I"
"Docusa","DOCU100"
"Miconazole ",NULL
"Fentanyl PCA","FEN2500PCA"
"Heparin lock","HEP1I"
"Dextromethorphan-Guaifenesin ","DITU4L"
"*NF* Rofecoxib","ROFE25"
"Bag","BAG"
"Dilaudid",NULL
"Diltiazem","TIAZ120"
"Aspirin Desensitization (Angioedema)","ASA325"
"Fluocinolone Acetonide 0.025% Cream","SNLR215C"
"Bupivacaine 0.75%","BUPI75I"
"Ace","ACET650L"
"Verapamil HCl","VERA180SR"
"Methotrexate Sodium P.F.","MTX200I"
"Acetaminophen w/Codeine","T3/12.5ML"
"Soma",NULL
"sevela","SEVE800"
"Heparin Flush (1000 units/mL)","HEP10I"
"Levofloxacin","LEV500"
"Mupirocin Cream 2%","BACT2C"
"Ammonium Lactate","LACT12T"
"Ethambutol HCl","ETHA100"
"Ocuvite",NULL
"timolo","TIMO25ES"
"Insulin","GLAR100I"
"Fluticasone Propionate 110mcg","FLUT110HFA"
"Neoral* Study Medication*","NEOR25IND"
"tetanus immune globulin",NULL
"Vytorin 10/20",NULL
"Thioridazine HCl","THIO100"
"acyclovir 400 mg or placebo","ACYCIND"
"Alteplase","ALTE100I"
"Vancomycin HCl","VANCO10I"
"cyanoc","CYAN500"
"Testosterone ","TEST25P"
"levothyroxine",NULL
"Nystat","NYST5L"
"Nystatin","NYST100V"
"Becaplermin Gel 0.01%","BECA15G"
"Ferrous Gluconate","FERRG325"
"Aztreonam","AZTR2I"
"1","LIDOPF130I"
"Fluoxetine","PROZ10"
"Mobic","MELO7.5"
"Pramoxine-Menthol-Petrolatum","PRAM1L"
"1","BUPI25I"
"Dexameth","DEXA5"
"Nesiritide","NESI1.5I"
"Alteplase 1mg/5mL ( Clearance ie. Indwelling port )","ALTE1/5I"
"Megestrol Oral Soln","MEGE400L"
"Meperidine","MEPE50L"
"Istalol",NULL
"Fentanyl Citrate","INSULIN"
"guaife","GUAI600T"
"Thiamine HCl","THIA100"
"Cefepime","CEFE2I"
"ValGANCIcl","VALG50L"
"Baclofen","BACL2000I"
"Clorazepate Dipotassium","CLORA7.5"
"Syringe","SYRINGE5"
"Propofol","PROP500IG"
"Ascorbic Acid","ASCO250I"
"Amiodarone Oral Suspension","AMIO40L"
"Glucosamine",NULL
"flonas","FLUT16N"
"Rivastigmine","RIVA3"
"Palivizumab","PALI100I"
"Astepro",NULL
"Prednisolone","PREDN5L"
"Sodium CITRATE 4%","SODCIT$/500I"
"Dakins 1/2 Strength","DAKINHS480L"
"Mesalamine","PENT250"
"*NF* Sorafenib","SORA200"
"Rifampin","RIFA300"
"Acyclovir","ACYC400"
"Phenylephrine 2.5 % Ophth Soln","PHEN2.5O"
"Flunisolide Inhaler","FLUN1H"
"Olanzapine (Disintegrating Tablet)","OLAN2.5"
"benazepril-hydrochlorothiazide",NULL
"Tacrolimus","TACR0.5SM"
"Celebrex","CELE200"
"NiCARdipine","NICA2.5I"
"Zolmitriptan",NULL
"Metipranolol","METI.3O"
"Nitroglycerin SR","NTG65"
"Aminocaproic Acid 25% Oral Rinse","AMIC250L"
"Digo","DIGO25"
"Floxin","OFLO0.3E"
"Zofran","ZOFR4"
"Thermacare Neck/Shoulder/Arm",NULL
"Mycophenolate Mofetil Suspension","MYCO500T"
"Clofarabine or Placebo (*IND*)","CLOFPLACIND"
"Fentanyl Citrate","FENT20I"
"Budesonide","BUDE0.25"
"NS Syringe (Intrapleural)","NS50SYRPL"
"Dexamethasone","DEXA4"
"Vasopressin","VASO20I"
"Amoxicillin-Clavulanic Acid","AUGM250"
"Epinephrine-Sodium Chloride","EPIS10I"
"Amicar","AMIN500"
"Alteplase","ALTE2IV"
"Cidofovir 1% Topical Paste","CIDO1P"
"Aminocaproic Acid","AMIN5"
"Mupirocin Cream 2%","BACT20"
"Ondansetron","ONDAN4I"
"Promethazine","PROM480L"
"Neo*IV*Hyaluronidase (Ovine)","HYAL200I"
"Isradipine",NULL
"Megace Oral","MEGE400L"
"Pyridoxine HCl","PYRI100I"
"Risperidone (Disintergrating Tablet)","RISPM0.5"
"Emend",NULL
"Ketorolac","KETR30I"
"Levofloxacin",NULL
"neut","NEUT"
"Galantamine","GALA4"
"Triamcinolone Acetonide 0.025% Ointment","TRIAM.025/45O"
"Tizanidine HCl","TIZA2"
"Prasugrel","PRAS10"
"CloniDINE","CATA1"
"Epoetin Alfa","EPO10INESRD"
"Melatonin",NULL
"ve","TRET10C"
"CGT003-03 E2F Decoy","DECOYIND"
"Peppermint Spirit","PEPP1"
"Tacro","TACR1"
"*NF* Sodium Chloride 5% (Hypertonic)","MURO5O"
"Mupirocin Ointment 2%","BACT20"
"AMINOCAPROIC","AMIN5L"
"Bottle","BTL500I"
"Heparin Sodium","HEPAPREMIX"
"300 mcg Vial","VIAL300"
"Ativan","LORA5"
"Nicotine Polacrilex","NICO2L"
"Oxycodone Liquid","OXYC5"
"Miglitol",NULL
"Oxycodone (Sustained Release)","OXYC20"
"domperidone ",NULL
"Caspofungin Acetate","CANC50I"
"Lacri-Lube Oint","ARTI3.5O"
"*NF* Fenofibrate","FENO48"
"Maalox","MAAL30L"
"Sodium Chloride 0.9 % or No Intervention","NS500IND"
"OxycoDONE Liquid","OXYCO5L"
"Leflunomide",NULL
"Nysta","NYST5L"
"Sulfameth","BACTSS"
"Aspercreme ",NULL
"MedroxyPROGESTERone Acetate","MEDR10"
"Depakote",NULL
"INO-1001 Study Drug  *IND*","INOIND"
"Ertapenem",NULL
"ARTIFI","ARTTS"
"CeleBREX","CELE100"
"Desipramine HCl","DESI50"
"5% Dextrose","D5W100"
"Depakote","DIVA500"
"Tobramycin Sulfate","TOBR80I"
"Tetanus","TTOX5I"
"meningococcal vac A,C,Y,W-135","MENI5I"
"Aripiprazole","ARIP9.75I"
"Fluoxetine HCl","PROZ10"
"Albuterol 0.5%","ALBU5H"
"Nitrofurantoin","NITR100"
"Amitriptyline","AMIT10"
"Methylprednisolone Na Succ.","MPRED0"
"ValGANCIclovir ","VALGA450"
"Prismasate (Ca 3.5)","PRISMACA5000"
"GlyBURI","GLYB1.25"
"Lisinopril",NULL
"LeVETiracetam","LEVE500I"
"HYDROmorphone (Dilaudid)","HYDR3R"
"Modafinil","MODA200"
"Golytely","GOLY60L"
"Phenytoin Sodium (IV)","PHEN100I"
"NEO*IV*Ampicillin Sodium","NAMP500I"
"Theophylline SR","THEO200"
"CefazoLIN","CEFA2D"
"BuPRO","BUPR150"
"Oseltamivir","OSEL6L"
"Fluphenazine","FLUP10"
"Sodium Chloride","ICPKIT"
"Aprotinin","APRO200I"
"Aminocaproic Acid","AMIN5L"
"Furosemide","FURO40L"
"Febuxostat","FEBU40"
"Sulfameth/Trimethoprim","BACT10I"
"Glimepiride","GLIM2"
"Zidovudine","RETR200I"
"POTASSIUM CHLORIDE","KCL20P"
"Bacitracin-Polymyxin ","POLYEO"
"Insulin Lispro 75/25","HUMA75/25I"
"Heparin Sodium (Preservative Free)","HEPA10SYRN"
"Lidocaine 2%","LIDPF2I"
"Oseltam","OSEL30"
"Ethacrynate Sodium",NULL
"Mexiletine HCl","MEXI250"
"bisopr","BISO5"
"Potassium Chloride Replacement (Oncology)","MICROK10"
"NEO*PO*Mct Oil","MCT4L"
"Lorazepam 2mg syringe ","SEPLORA2I"
"Isosorbide ","IMDU30"
"Protopic","TACR0.1O"
"*NF* Fenofibrate","FENO54"
"Lansoprazole","LANS15"
"Cosopt","COSO5ES"
"potassium ch","POTA20"
"*NF* Amoxapine","AMOX50"
"Lactaid",NULL
"Miconazole 2% Cream","MICO2C"
"Sodium Bicarbonate","NEUT1I"
"Ampicillin Sodium","AMP1I"
"bimatoprost","BIMA.03E"
"Ipratropium Bromide",NULL
"Niaci","NIAC500SR"
"metipranolol","METI.3O"
"Fentanyl Patch","FENT50P"
"Theophylline (Oral Solution)","THEO80LQ"
"Gemcitabine","GEM1I"
"NS","NS1000"
"Belladonna & Opium","B&OSUPP"
"Cyclosporine","NEOR100L"
"Dexrazoxane","DEXR500I"
"Insulin","NOVO100P"
"FoLIC Acid","FOLI1"
"nap","NAPH15O"
"Metolazone","METL25"
"Mephobarbital","MEPH50"
"Factor IX Complex","FACT9"
"Chlorpromazine HCl","THOR25I"
"Brimonidine Tartrate 0.15% Ophth.","ALPH0.15O"
"Omnaris (ciclesonide)",NULL
"Nitrofurantoin Suspension","NITR30L"
"Dex","DEXA15"
"Vitamin D","VITD1000"
"artificial","ARTTS"
"D5W","D5W150"
"*NF* Caspofungin Acetate","canc70i"
"Hydromorphone","HYDR2I"
"*NF* Salmeterol-Fluticasone","ADVA500/50"
"ChlorproMAZINE","THOR100"
"Metoclopramide","METO10I"
"Primidone","MYSO250"
"Metoclopramide HCl","METO10L"
"Nitrofurantoin (Macrodantin)","NITR100"
"LeVETiracetam Solution","LEVE250T"
"prednisol","PREDN5L"
"OLANZapine","OLAN10I"
"LeVETiracetam","LEVE500BN"
"docosanol",NULL
"hep","HEP1I"
"Alum-Mag Hydroxide-Simethicone","MAALX30L"
"Lorazepam 2mg Syringe","SEPLORA2I"
"Acetic Acid 0.125% Irrig. Soln","ACET.125T"
"Isosorbide Dinitrate","ISOS5SL"
"entacapone","ENTA200"
"D5 1/4NS","D52NS1000"
"Atorvastatin","ATOR80"
"Neomycin-Polymyxin-","CORTOTIC"
"Dakins 1/4 Strength","DAKINHS"
"Nexium","NEWMED"
"Valacyclovir","VALA500"
"sodium b","NABC50I"
"Varenicline",NULL
"Dakins",NULL
"Naloxone","NALO6L"
"Neomycin-Polymyxin-Gramicidin",NULL
"Methylphenidate","RITA10"
"Vitamin A","VITA25"
"insulin dum","INSULIN"
"Lotrel","BENA10"
"VICOdin","VICODIN"
"Thiamine","THIA50"
"*NF* Allopurinol Sodium","ALLO500I"
"Diltiazem Extended-Release","TIAZ240"
"Syringe","HYDRSYR"
"ValGANCIc","VALG50L"
"Diltiazem","DILT30"
"ranolazine","RANOL500"
"bactrim","BACT20L"
"sodium chloride","ICPKIT"
"Fluocinonide 0.05% Ointment","LIDX15O"
"Tizanidine",NULL
"Indomethacin Sodium","INDO1I"
"Anamorelin HCl","ANAMSTUDY"
"D5W (GLASS BOTTLE)","D5W250G"
"Vesicare",NULL
"Aspirin EC","ASAB325"
"Pravastatin","PRAV20"
"Indomethacin XR","INDO75XR"
"Iso-Osmotic Sodium Chloride","ISONACL"
"Lactated Ringers","LR1000"
"Cyclophosphamide","CYCL1I"
"Morphine SR (MS Contin)","MSCO100"
"Enalaprilat","ENAL25IVPB"
"Capsaicin 0.025%","CAPS25C"
"*NF* Pramipexole","PRAM125"
"Dex","DEXA10I"
"Mannitol 20%","MANN100I"
"Sulfameth/Trimeth","BACT20L"
"Pulmicort neb",NULL
"Cefazolin","CEFA500I"
"Zyflo CR","ZILE600CR"
"Zomig 2.5mg -ZMT tabs",NULL
"Theophylline ER (Uniphyl)","THEO400TR"
"Econopred Plus",NULL
"Procainamide SR","PROC500SR"
"Omeprazole","OMEP20S"
"Flutamide",NULL
"Muro 128","MURO5O"
"Sulfame","BACT20L"
"MultiVitamins","MULT5L"
"Lumigan *NF*",NULL
"Esmolol in Saline (Iso-osm)","ESMO2PM"
"Nystatin-Triamcinolone","MYCO2C"
"Naloxone HCl","NALO2I"
"aspi","ASA325"
"CycloSPORINE Modified (Eon Labs)",NULL
"dornase alfa","PULMOZYME"
"Hydrocortisone Na Succinate","HC500I"
"Triamcinolone Acetonide(Inhal)","AZMA20H"
"Lorazepam 2mg syringa","SEPLORA2I"
"Albumin 25%","ALBU25100I"
"Avodart *NF*",NULL
"Gentamicin","GENT60PM"
"HydrOXYzine","HYDR25I"
"Gentamicin Sulf. Ophth. Soln","GENTFORT"
"Flarex",NULL
"Cilostazol","CILL50"
"Irinotecan","CAMP200I"
"D5W","D5W500"
"Insulin Lispro (Human)","HUMU100I"
"Dextrose 5%","D5W50"
"FoLIC Acid","FOLI1I"
"Symbicort 160-4.5mcg",NULL
"Divalproex","DIVA1750L"
"Megestr","MEGE800L"
"Epidural Bag","EPIDBAG250"
"Collagenase Ointment","COLL30O"
"Furosemide","FURO80"
"PleTAL","CILOS100"
"metroNIDAZOLE Desensitization","METRODESN"
"Sulfameth/Trimet","BACT20L"
"Sinemet","SINM25100"
"NS","HEPA500ML"
"Benzonatate","BENZ100"
"Metamucil",NULL
"Tegaserod Hydrogen Maleate","TEGA2"
"Agrylin (anagrelide) 0.5mg CAP",NULL
"zinc oxide","DESI30O"
"Alternagel-Benadryl-Lidocaine Visc.","ALBELI120"
"Amoxicillin-Clavulanate Susp","NEOAUGM50S"
"Heparin Flush (10 units/ml)","HEPA100SYR"
"insulin detemir",NULL
"TOBRAM","TOBR300H"
"<IND> Drotrecogin Alfa Study Drug","DROTIND"
"Cisatracurium Besylate","CISA20I"
"Cefazolin","CEFA1F"
"Methylprednisolone","MPRED2"
"hyo","HYOS.375"
"Lescol XL","FLUV20"
"Neoral","NEOR100L"
"sod","NABC50S"
"Etidronate Disodium","ETID200"
"Verapamil","VERA180SR"
"Simethicone","SIME80"
"TISSEEL/FS VH SD","GLUEIND"
"Carbidopa-Levodopa CR (25-100)","SINE25100"
"Yodoxin","IODO210"
"Multivitamins ","MVITH"
"Fluphenazine","FLUP5L"
"*NF* Famciclovir","FAMC500"
"NS Epidural Bag","EPIBAGH10"
"Aspirin Desensitization","ASPIDESEN"
"budesonide","BUDE0.5"
"Heparin Flush (100 units/mL)","HEPA100SYR"
"Vancomycin ophthalmic solution",NULL
"rivastigmine",NULL
"Sulfameth/Trim","BACT20L"
"Aztreonam","AZTR2FB"
"Vitamin B Complex","VITB1"
"Rocaltrol","CALC25"
"Proplex","FACT9"
"Dacarbazine","DACA200I"
"Glipizide","GLIP10"
"Riboflavin",NULL
"Cromolyn","CROM4O"
"Neutra-phos","NEUT"
"Captopril","CAPT125"
"AccoLATE","ZAFI20"
"Geodon","GEOD20"
"D5W W 0.2% Albumin","D550.2ALB"
"Mannitol","MANN25I"
"Rocuronium Bromide","ROCU50I"
"Clomipramine HCl","CLOM25"
"NIFEdipine","ADAL90"
"Ampicillin","AMP2I"
"Revatio",NULL
"Methylprednisolone Sodium Succ","METH40I"
"HumuLIN R","INRHI"
"*NF* Zaleplon","ZALE10"
"Ascorbic Acid",NULL
"Entecavir","ENTE0.05L"
"Quinine Sulfate","QUIN325"
"Glyburide/Metformin (5mg-500mg)","GLU5/500"
"BuPROPion","BUPR150XL"
"Doxercalciferol","DOX2.5"
"Paxil CR","PARO12.5CR"
"Aspirin","ASA81EC"
"Etravirine 100mg tablet","ETRA100IND"
"Lidocaine ","LIDO2/5J"
"Folic ","FOLI5I"
"Fluconazole (Self Med)","FLUC200SM"
"Heparin CRRT","HEPA5I"
"Acetylcysteine",NULL
"Fioricet","FIOC"
"kaol","KAOL60L,"
"Aspiri","ASA81"
"HydrALAZINE HCl","HYDZ25"
"Mirapex ER",NULL
"Mesalamine Desensitization","MESADESEN1"
"Gentamicin Sulf. Ophth. Soln","GENT3ES"
"ALBUTEROL(VOLMAX)",NULL
"ZOFRAN PO","ZOFR4"
"Viagra","SILD50"
"Imatinib Mesylate","IMAT400L"
"Testosterone Cypionate","DEPO200I"
"Milk Thistle",NULL
"Prograf","TACR1BN"
"Artificial Tear","ARTI3.5O"
"Quetiapine Fumarate","QUET200"
"Isotretinoin",NULL
"Vitamin B Complex w/C","VITBC1"
"Lumigan","LUGOL"
"Gua","GUAI600T"
"Citracal + D",NULL
"Plan B","LEVO.75"
"Advicor",NULL
"Cozaar","COZA25"
"Prednisone","PRED25"
"Methadone","METH1L"
"HumuLIN N","INNHI"
"Phenobarbital","PHEN30"
"formoterol fumarate","FORM12H"
"NEO*PO*Prednisolone Syrup","NEOPREDL1"
"Olanzapine (Disintergrating Tablet)","OLAN5DTB"
"Dopamine Hcl","DOPA400I"
"Azathioprine","AZAT25HT"
"coenzyme Q10",NULL
"Clindamycin","CLIN600PM"
"Foradil",NULL
"Hydromorphone HCl","HYDM4"
"anakinra","ANAK100I"
"Benzoyl Peroxide Gel 10%","BENZ10O"
"Sonata","ZALE10"
"Charcoal","CHARC120L"
"Simvastatin",NULL
"Sulfameth/Trimethoprim SS","BACT20L"
"Fentanyl Patch","FENT100P"
"5% Dextrose (Non DEPH)","NDEPHBAG100"
"NEO*PO*Folic Acid","NEOFOL"
"Nevirapine","NEVI50L"
"Belladonna-Opium","B&OSUPP"
"Atrovent",NULL
"Mechlorethamine HCl","MECH10I"
"Olanzapine","OLAN5"
"BACTR","BACT20L"
"Ipratropium Bromide MDI","FLUT110H"
"0.9% Sodium Chloride","NS25"
"Morphine Sulfate ","MOR10L"
"Diphenoxylate-Atropine","LOMO10ML"
"Dextran 40 10%","DEXT500I"
"Ropinirole HCl","ROPI5"
"Vancomycin Desensitization","VANC.125L"
"Ceftazidime","CEFT1V"
"Aluminum Hydroxide Suspension","ALUM355L"
"Sucralfate Enema","CARA1"
"DiphenhydrAMINE","DIPH25L"
"Mycophenolate Mofetil Suspension","MYCO1500L"
"Ampicillin Sodium/Sulbactam","UNAS15I"
"Lithium Carbonate","LITH150"
"Lorazepam",NULL
"Vecuronium Bromide","VECU10I"
"Ziprasidone Hydrochloride","GEOD80"
"Miconazole Nitrate Vaginal","MONI7C"
"Amphetamine-Dextroamphetamine","ADDE5XR"
"NAFCILLIN",NULL
"Lidocaine","LIDO4S"
"CloniDINE","CATA2"
"Albumin 5% (12.5g / 250mL)","ALBU5250"
"Cephalexin ","CEPH250S"
"Propoxyphene Nap.-Apap (N-100)","DARV100"
"acet","ACET325"
"Tricor","FENO145"
"LIDODERM PATCHES 5%",NULL
"Carbamazepine","CARB200"
"Morphine ","MORPCONC"
"Betaxolol Hcl  0.25%","BETA25ES"
"Kaopectate/Benadryl/Lido Visc.","KBL240L"
"Vancomycin","VANC250PR"
"Pangestyme EC","PANCEC"
"Lidocaine ","LID2J"
